Title,Latitude,Longitude,Region,Country,Zone Type,Zone Specialization,Management Type,Management Company,SEZ Framework,Nearest Airport,Nearest Airport Distance (km),airportlat,airportlong,Capital City,Capital City Distance (km),capitallat,capitallong,Nearest Port,Nearest Port Distance (km),Note,URL,Populous City,Populous City Distance (km),portlat,portlong,Size (Hectares),size_class,Source,Status,ID,Created,Created By,Modified,Modified By
"Đại Kim Industrial Estate","20.974984","105.8149694","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Ipavietnam Corporation","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","27.4","21.2212009","105.8069992","Hanoi","7.4","21.0333","105.85","Hanoi","7.8",,"http://homeid.com.vn/en/industrial-zone-for-rent/dai-kim-industrial-zone-bac-ninh.html","Hanoi","7.4","21.02933","105.8621","508","5",,"Active","5139","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Tinh Phong Industrial Zone","15.209526","108.7940225","Southeast Asia","Vietnam","Diversified Zone",,"Public","Quang Ngai Industrial Zone Authority","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Da Nang International Airport","112.7","16.0438995","108.1989975","Hanoi","719.2","21.0333","105.85","Quang Ngai","16.4",,"http://viipip.com/ipen/?ipcode=185","Quang Nga","7.6","15.24313","108.9429","142","5",,"Active","5140","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Dung Quất Coastal Economic Zone","15.3807184","108.8071999","Southeast Asia","Vietnam","Free Trade Zone",,"Public","The Dung Quat Economic Zone Authority","Decision No. 50/2005/QD-TTg, Decision No. 148/2004/QD-TTg, Decision No. 1353/QD·TTg Sept. 23, 2008","Da Nang International Airport","98.5","16.0438995","108.1989975","Hanoi","702.6","21.0333","105.85","Quang Ngai","21.1",,"https://dungquatez.wordpress.com/dungquat-ez/","Quang Nga","25.8","15.24313","108.9429","45332","7",,"Active","5141","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Thach Than - Quoc Oai Industrial Park","20.9812083","105.6255178","Southeast Asia","Vietnam","Diversified Zone",,"Public","Vietnam Investment Development Group (VID)","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","32.7","21.2212009","105.8069992","Hanoi","24","21.0333","105.85","Hanoi","25.2",,"https://www.tdc-vietnam.com/eng/factory/area/detail/95/","Son Tây","21.5","21.02933","105.8621","150","5",,"Active","5142","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Hải Dương Phúc Điền Industrial Estate","20.9311331","106.1899889","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Nam Quang Investment and Development Joint - Stock Company","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","51.2","21.2212009","105.8069992","Hanoi","37.1","21.0333","105.85","Hanoi","35.8","http://btd.co.jp/kcn-phuc-dien/","http://www.vidgroup.com.vn/","Hải Dương","14.7","21.02933","105.8621","87","4",,"Active","5143","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Hanaka Industrial Estate","21.1246296","105.9560485","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Hanaka Group, Bac Ninh Industrial Zones Authority","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","18.8","21.2212009","105.8069992","Hanoi","15","21.0333","105.85","Hanoi","14.4","http://ipvn.vn/hanaka-industrial-park-pd122845.html?lang=en","http://hanaka.com.vn/en/hanaka-industrial-park-project","Hanoi","15","21.02933","105.8621","74","4",,"Active","5144","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Thach That-Quoc Oai Industrial Estate","21.0929991","105.5071581","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Vietnam Investment Development Group (VID)","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","34.2","21.2212009","105.8069992","Hanoi","36.2","21.0333","105.85","Hanoi","37.5",,"http://btd.co.jp/kcn-thach-that-quoc-oai/","Son Tây","5","21.02933","105.8621","150","5",,"Active","5145","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Hòa Lạc High-Tech Industrial Estate","21.0088471","105.5286055","Southeast Asia","Vietnam","Specialized Zone","Tech","Public","Hoa Lac Hi-Tech Industrial Zone","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","37.3","21.2212009","105.8069992","Hanoi","33.5","21.0333","105.85","Hanoi","34.7",,"http://hhtp.gov.vn/en.html","Son Tây","14.6","21.02933","105.8621","1586","6",,"Active","5146","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Hưng Yên - Như Quỳnh A Industrial Estate","20.9864292","105.9822535","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Hung Yen IZ Management Board","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","31.8","21.2212009","105.8069992","Hanoi","14.7","21.0333","105.85","Hanoi","13.4","http://www.ide.go.jp/library/English/Publish/Download/Jrp/pdf/134_3.pdf","http://ipvn.vn/nhu-quynh-a-industrial-park-pd122597.html?lang=en","Hanoi","14.7","21.02933","105.8621","50","4",,"Under Development","5147","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Khai Quang Industrial Estate","21.3039972","105.6225388","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Vinh Phuc Infrastructure Development JSC","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","21.2","21.2212009","105.8069992","Hanoi","38.3","21.0333","105.85","Hanoi","39.4",,"http://www.chothuexuong.com.vn/en/vinh-phuc--industrial-park/khai-quang-industrial-zone/","Vinh Yên","1.9","21.02933","105.8621","216","5",,"Active","5148","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Tai Seng Bavet Special Economic Zone","11.0569552","106.0904261","Southeast Asia","Cambodia","Diversified Zone","N/A","Private","Tai Seng Bavet SEZ Co., Ltd","Sub-Decree No.29 dated 04 April 2007","Tan Son Nhat International Airport","66.9","10.8188","106.6520004","Phnom Penh","139.4","11.55","104.9166","Saigon","76.2",,"http://taisengsez.com/","Tây Ninh","30.3","10.75853","106.7181","99","4",,"Active","5149","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
